y_actual,y_pred,y_prob,top_3_features
0,0,0.004039384,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.050178092,"['Status_Scores', 'Total_Net_Paid', 'Discount_Amount']"
0,0,0.2341703,"['Status_Scores', 'Auto_Renewal_Score', 'Band_Band B']"
1,1,0.9166825,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.004408673,"['Status_Scores', 'Auto_Renewal_Score', 'Sustainability_Score']"
0,0,0.5614117,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.04964571,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.13680762,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.0066069905,"['Status_Scores', 'Sustainability_Score', 'Connection_Group_10+']"
0,0,0.00704757,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.0005454791,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.2558478,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.012262864,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0018337807,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.0019961076,"['Status_Scores', 'Payment_Timeframe', 'Band_Band F2']"
0,0,0.0048484574,"['Status_Scores', 'Total_Net_Paid', 'Auto_Renewal_Score']"
0,0,0.0058161537,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.04399529,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.022702983,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.0046952516,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0017923274,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,1,0.8875624,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.0101982085,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.0035341864,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0060265916,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
0,0,0.013501191,"['Status_Scores', 'Tenure_Years', 'Discount_Amount']"
0,0,0.029593214,"['Status_Scores', 'Auto_Renewal_Score', 'Tenure_Years']"
0,0,0.0009812261,"['Status_Scores', 'Band_Band D', 'Payment_Timeframe']"
0,0,0.41916716,"['Total_Net_Paid', 'Status_Scores', 'Payment_Timeframe']"
0,0,0.0030015022,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.07716023,"['Status_Scores', 'Auto_Renewal_Score', 'Tenure_Years']"
0,0,0.27191892,"['Status_Scores', 'Discount_Amount', 'Payment_Timeframe']"
1,1,0.97891575,"['Status_Scores', 'Total_Net_Paid', 'competitor_mentioned_flag']"
0,0,0.025107162,"['Status_Scores', 'Auto_Renewal_Score', 'Payment_Timeframe']"
0,0,0.536986,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.013249453,"['Status_Scores', 'Payment_Timeframe', 'Discount_Amount']"
0,0,0.003213428,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
1,1,0.9930403,"['Discount_Amount', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.07661256,"['Total_Net_Paid', 'Status_Scores', 'Payment_Timeframe']"
0,0,0.0023733997,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.0041500316,"['Status_Scores', 'Sustainability_Score', 'Auto_Renewal_Score']"
0,0,0.004981324,"['Status_Scores', 'Auto_Renewal_Score', 'Total_Net_Paid']"
