Call_ID,Call_Direction,Co_Ref,Call_Date,Churn_Category,Complaint_Category,Customer_Reaction_Category,Agent_Renewal_Pitch_Category,Customer_Renewal_Response_Category,Agent_Response_Category,Membership_Renewal_Decision,Serious_Complaint,Other_Complaint,Discussion_on_Price_Increase,Renewal_Impact_Due_to_Price_Increase,Discount_or_Waiver_Requested,Call_Reschedule_Request,Agent_Flagged_Membership_Status_Alert,Agent_Renewal_Initiation,Explicit_Competitor_Mention,Explicit_Switching_Intent,Mentioned_Competitors,Price_Switching_Mentioned,Competitor_Value_Comparison,Competitor_Benefits_Mentioned,Topic_Introduced_By,Percentage_Price_Increase_Mentioned,Monetary_Price_Increase_Mentioned,Price_Range_Mentioned,Customer_Asked_For_Justification,Customer_Response,Desire_To_Cancel,Discount_Offered,Justification_Category,Reason_For_Renewal_Category,Agent_Response_To_Cancel_Category,Argument_That_Convinced_Customer_to_Stay_Category,Analysed_Call,Call_Number,Call_Year,Prospect_Renewal_Date,Prospect_Outcome,Days_Before_Renewal,target,Call_Month,days_bucket
505000000000,OUT_BOUND,AA2716,2024-04-05,,,,Expiration / Due,Agreement,Payment,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,1,2024,2024-05-04,Won,29.0,0,4,29-35d
506000000000,OUT_BOUND,AA2716,2024-04-08,,,,,,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Agent,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,2,2024,2024-05-04,Won,26.0,0,4,22-28d
506000000000,OUT_BOUND,AA2716,2024-04-09,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Not Discussed,Not Discussed,No,,,,,1.0,3,2024,2024-05-04,Won,25.0,0,4,22-28d
623000000000,OUT_BOUND,AA2716,2025-04-07,,,,Expiration / Due,Communication,Confirmation / Acceptance / Agreement,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,,,,1.0,6,2025,2025-05-04,Won,27.0,0,4,22-28d
624000000000,OUT_BOUND,AA2716,2025-04-16,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,7,2025,2025-05-04,Won,18.0,0,4,14-21d
595000000000,OUT_BOUND,AA5736,2025-01-31,Switch / Change / Alternate Provider,,,Benefits,Accreditation and Certification,Accreditation and Certification,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Not Discussed,No,No,Not Discussed,No,Neutral,Renewed,No,,Value of product,,,1.0,4,2025,2025-03-08,Won,36.0,0,1,36-45d
595000000000,OUT_BOUND,AA5736,2025-02-05,,,,Audit,Confusion / Uncertainty / Hesitation,Customer Communication,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Not Discussed,No,,,,,1.0,5,2025,2025-03-08,Won,31.0,0,2,29-35d
538000000000,OUT_BOUND,AB2997,2024-09-04,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,1,2024,2024-10-09,Won,35.0,0,9,29-35d
538000000000,OUT_BOUND,AB2997,2024-09-10,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,2,2024,2024-10-09,Won,29.0,0,9,29-35d
539000000000,OUT_BOUND,AB2997,2024-09-18,,,,Discussion / Introduction / Inquiry,Not Mentioned,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not Discussed,No,No,Not Discussed,No,Neutral,Not Discussed,No,,,,,1.0,3,2024,2024-10-09,Won,21.0,0,9,14-21d
